FIPStxt,Stabr,Area_name,Attribute,Value
0,US,United States,POVALL_2020,38371394
0,US,United States,CI90LBALL_2020,38309115
0,US,United States,CI90UBALL_2020,38433673
0,US,United States,PCTPOVALL_2020,11.9
0,US,United States,CI90LBALLP_2020,11.9
0,US,United States,CI90UBALLP_2020,11.9
0,US,United States,POV017_2020,11204423
0,US,United States,CI90LB017_2020,11176652
0,US,United States,CI90UB017_2020,11232194
0,US,United States,PCTPOV017_2020,15.7
0,US,United States,CI90LB017P_2020,15.7
0,US,United States,CI90UB017P_2020,15.7
0,US,United States,POV517_2020,7798566
0,US,United States,CI90LB517_2020,7778138
0,US,United States,CI90UB517_2020,7818994
0,US,United States,PCTPOV517_2020,14.9
0,US,United States,CI90LB517P_2020,14.9
0,US,United States,CI90UB517P_2020,14.9
0,US,United States,MEDHHINC_2020,67340
0,US,United States,CI90LBINC_2020,67251
0,US,United States,CI90UBINC_2020,67429
0,US,United States,POV04_2020,3146325
0,US,United States,CI90LB04_2020,3133736
0,US,United States,CI90UB04_2020,3158914
0,US,United States,PCTPOV04_2020,16.8
0,US,United States,CI90LB04P_2020,16.7
0,US,United States,CI90UB04P_2020,16.9
1000,AL,Alabama,POVALL_2020,714568
1000,AL,Alabama,CI90LBALL_2020,695249
1000,AL,Alabama,CI90UBALL_2020,733887
1000,AL,Alabama,PCTPOVALL_2020,14.9
1000,AL,Alabama,CI90LBALLP_2020,14.5
1000,AL,Alabama,CI90UBALLP_2020,15.3
1000,AL,Alabama,POV017_2020,222934
1000,AL,Alabama,CI90LB017_2020,213738
1000,AL,Alabama,CI90UB017_2020,232130
1000,AL,Alabama,PCTPOV017_2020,20.9
1000,AL,Alabama,CI90LB017P_2020,20
1000,AL,Alabama,CI90UB017P_2020,21.8
1000,AL,Alabama,POV517_2020,152810
1000,AL,Alabama,CI90LB517_2020,144819
1000,AL,Alabama,CI90UB517_2020,160801
1000,AL,Alabama,PCTPOV517_2020,19.7
1000,AL,Alabama,CI90LB517P_2020,18.7
1000,AL,Alabama,CI90UB517P_2020,20.7
1000,AL,Alabama,MEDHHINC_2020,53958
1000,AL,Alabama,CI90LBINC_2020,53013
1000,AL,Alabama,CI90UBINC_2020,54903
1000,AL,Alabama,POV04_2020,66169
1000,AL,Alabama,CI90LB04_2020,61541
1000,AL,Alabama,CI90UB04_2020,70797
1000,AL,Alabama,PCTPOV04_2020,23.3
1000,AL,Alabama,CI90LB04P_2020,21.7
1000,AL,Alabama,CI90UB04P_2020,24.9
1001,AL,Autauga County,Rural-urban_Continuum_Code_2003,2
1001,AL,Autauga County,Urban_Influence_Code_2003,2
1001,AL,Autauga County,Rural-urban_Continuum_Code_2013,2
1001,AL,Autauga County,Urban_Influence_Code_2013,2
1001,AL,Autauga County,POVALL_2020,6242
1001,AL,Autauga County,CI90LBALL_2020,4930
1001,AL,Autauga County,CI90UBALL_2020,7554
1001,AL,Autauga County,PCTPOVALL_2020,11.2
1001,AL,Autauga County,CI90LBALLP_2020,8.8
1001,AL,Autauga County,CI90UBALLP_2020,13.6
1001,AL,Autauga County,POV017_2020,1912
1001,AL,Autauga County,CI90LB017_2020,1327
1001,AL,Autauga County,CI90UB017_2020,2497
1001,AL,Autauga County,PCTPOV017_2020,14.9
1001,AL,Autauga County,CI90LB017P_2020,10.3
1001,AL,Autauga County,CI90UB017P_2020,19.5
1001,AL,Autauga County,POV517_2020,1378
1001,AL,Autauga County,CI90LB517_2020,926
1001,AL,Autauga County,CI90UB517_2020,1830
1001,AL,Autauga County,PCTPOV517_2020,14.5
1001,AL,Autauga County,CI90LB517P_2020,9.7
1001,AL,Autauga County,CI90UB517P_2020,19.3
1001,AL,Autauga County,MEDHHINC_2020,67565
