date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used,total_boosters,total_boosters_per_hundred
2021-10-02,AL,4544355.0,6738280.0,2586950.0,42.73,92.68,2094920.0,52.76,137.43,9583.0,10431.0,2127.0,0.674,2985.0,0.06
2021-10-03,AL,4565230.0,6736650.0,2592096.0,42.89,93.11,2103203.0,52.87,137.39,20875.0,11389.0,2323.0,0.678,10683.0,0.22
2021-10-04,AL,4579477.0,6736230.0,2595947.0,43.02,93.4,2109349.0,52.94,137.38,14247.0,12178.0,2484.0,0.68,14974.0,0.31
2021-10-05,AL,4584378.0,6742810.0,2597448.0,43.07,93.5,2111925.0,52.97,137.52,4901.0,10470.0,2135.0,0.68,15821.0,0.32
2021-10-06,AL,4594736.0,6757960.0,2600070.0,43.15,93.71,2115732.0,53.03,137.83,10358.0,11500.0,2345.0,0.68,19856.0,0.4
2021-10-07,AL,4604007.0,6781040.0,2602402.0,43.22,93.9,2118943.0,53.08,138.3,9271.0,10200.0,2080.0,0.679,23696.0,0.48
2021-10-08,AL,4624892.0,6829510.0,2608058.0,43.38,94.32,2126766.0,53.19,139.29,20885.0,12874.0,2626.0,0.677,31360.0,0.64
2021-10-09,AL,4630089.0,6858210.0,2609534.0,43.42,94.43,2128926.0,53.22,139.87,5197.0,12248.0,2498.0,0.675,33007.0,0.67
2021-10-13,AL,4660146.0,6884990.0,2617643.0,43.66,95.04,2140724.0,53.39,140.42,2975.0,9344.0,1906.0,0.677,43473.0,0.89
2021-10-14,AL,4669623.0,6900590.0,2620146.0,43.73,95.24,2144120.0,53.44,140.74,9477.0,9374.0,1912.0,0.677,47184.0,0.96
2021-10-15,AL,4677864.0,6916550.0,2622428.0,43.79,95.4,2147033.0,53.48,141.06,8241.0,7567.0,1543.0,0.676,50387.0,1.03
2021-10-16,AL,4688180.0,6945360.0,2625208.0,43.86,95.61,2150508.0,53.54,141.65,10316.0,8299.0,1693.0,0.675,54596.0,1.11
2021-10-17,AL,4703456.0,6937340.0,2629346.0,43.96,95.93,2155609.0,53.63,141.49,15276.0,9191.0,1874.0,0.678,60775.0,1.24
2021-10-18,AL,4709775.0,6936920.0,2631267.0,44.01,96.06,2157856.0,53.66,141.48,6319.0,8804.0,1796.0,0.679,62992.0,1.28
2021-10-19,AL,4714057.0,6946650.0,2632750.0,44.04,96.14,2159523.0,53.69,141.68,4282.0,8127.0,1657.0,0.679,64151.0,1.31
2021-10-20,AL,4722919.0,6981680.0,2634995.0,44.1,96.32,2162284.0,53.74,142.39,8862.0,8968.0,1829.0,0.676,68128.0,1.39
2021-10-21,AL,4732829.0,6999770.0,2637734.0,44.16,96.53,2165154.0,53.8,142.76,9910.0,9029.0,1841.0,0.676,72537.0,1.48
2021-10-22,AL,4742444.0,7045270.0,2644229.0,44.26,96.72,2170323.0,53.93,143.69,9615.0,9226.0,1882.0,0.673,70977.0,1.45
2021-10-23,AL,4759947.0,7062480.0,2648588.0,44.36,97.08,2174923.0,54.02,144.04,17503.0,10252.0,2091.0,0.674,79836.0,1.63
2021-10-24,AL,4766186.0,7061780.0,2650133.0,44.39,97.21,2176540.0,54.05,144.02,6239.0,8961.0,1828.0,0.675,83012.0,1.69
2021-10-25,AL,4773728.0,7058840.0,2652037.0,44.42,97.36,2177980.0,54.09,143.96,7542.0,9136.0,1863.0,0.676,87259.0,1.78
2021-10-26,AL,4779470.0,7069650.0,2653566.0,44.45,97.48,2179242.0,54.12,144.18,5742.0,9345.0,1906.0,0.676,90226.0,1.84
2021-10-27,AL,4805213.0,7123260.0,2659115.0,44.54,98.0,2183682.0,54.23,145.28,25743.0,11756.0,2398.0,0.675,106328.0,2.17
2021-10-28,AL,4827200.0,7163060.0,2663952.0,44.61,98.45,2187378.0,54.33,146.09,21987.0,13482.0,2750.0,0.674,119985.0,2.45
2021-10-29,AL,4847422.0,7220460.0,2668028.0,44.68,98.86,2190701.0,54.41,147.26,20222.0,14997.0,3059.0,0.671,133115.0,2.71
2021-10-30,AL,4866607.0,7264740.0,2672040.0,44.75,99.25,2194074.0,54.5,148.16,19185.0,15237.0,3108.0,0.67,145269.0,2.96
2021-10-31,AL,4874827.0,7266450.0,2673656.0,44.78,99.42,2195532.0,54.53,148.2,8220.0,15520.0,3165.0,0.671,150509.0,3.07
2021-11-01,AL,4884730.0,7263250.0,2676227.0,44.82,99.62,2197549.0,54.58,148.13,9903.0,15857.0,3234.0,0.673,155963.0,3.18
2021-11-02,AL,4889817.0,7302580.0,2677664.0,44.84,99.73,2198533.0,54.61,148.94,5087.0,15764.0,3215.0,0.67,158669.0,3.24
2021-11-03,AL,4912357.0,7316580.0,2682405.0,44.92,100.19,2202285.0,54.71,149.22,22540.0,15306.0,3122.0,0.671,173053.0,3.53
2021-11-04,AL,4926067.0,7354360.0,2685449.0,44.96,100.47,2204677.0,54.77,149.99,13710.0,14124.0,2881.0,0.67,181577.0,3.7
2021-11-05,AL,4939456.0,7401100.0,2688481.0,45.01,100.74,2207077.0,54.83,150.94,13389.0,13148.0,2682.0,0.667,189925.0,3.87
2021-11-06,AL,4943879.0,7407740.0,2689496.0,45.03,100.83,2208029.0,54.85,151.08,4423.0,11039.0,2251.0,0.667,192473.0,3.93
2021-11-07,AL,4960880.0,7423960.0,2693121.0,45.1,101.18,2211121.0,54.93,151.41,17001.0,12293.0,2507.0,0.668,203008.0,4.14
2021-11-08,AL,4971453.0,7423960.0,2695826.0,45.14,101.39,2213458.0,54.98,151.41,10573.0,12389.0,2527.0,0.67,208680.0,4.26
2021-11-09,AL,4974840.0,7456320.0,2696907.0,45.16,101.46,2214496.0,55.0,152.07,3387.0,12146.0,2477.0,0.667,210032.0,4.28
2021-11-10,AL,4994724.0,7504060.0,2701228.0,45.24,101.87,2218371.0,55.09,153.04,19884.0,11767.0,2400.0,0.666,222047.0,4.53
2021-11-13,AL,5011123.0,7683490.0,2706002.0,45.31,102.2,2221462.0,55.19,156.7,10881.0,9606.0,1959.0,0.652,230987.0,4.71
2021-11-14,AL,5046821.0,7680930.0,2714714.0,45.45,102.93,2228585.0,55.37,156.65,35698.0,12277.0,2504.0,0.657,251525.0,5.13
2021-11-15,AL,5056706.0,7679330.0,2718301.0,45.48,103.13,2230181.0,55.44,156.62,9885.0,12179.0,2484.0,0.658,256328.0,5.23
2021-11-16,AL,5061882.0,7696280.0,2720602.0,45.51,103.24,2231219.0,55.49,156.96,5176.0,12435.0,2536.0,0.658,258231.0,5.27
2021-11-17,AL,5077480.0,7723600.0,2724085.0,45.55,103.55,2233411.0,55.56,157.52,15598.0,11822.0,2411.0,0.657,268383.0,5.47
2021-11-18,AL,5105635.0,7750770.0,2731073.0,45.64,104.13,2237829.0,55.7,158.08,28155.0,15450.0,3151.0,0.659,285449.0,5.82
2021-11-19,AL,5112835.0,7781660.0,2733032.0,45.66,104.28,2238958.0,55.74,158.71,7200.0,16085.0,3281.0,0.657,289685.0,5.91
2021-11-20,AL,5139179.0,7825960.0,2740397.0,45.75,104.81,2243092.0,55.89,159.61,26344.0,18294.0,3731.0,0.657,304909.0,6.22
2021-11-21,AL,5146029.0,7822360.0,2742393.0,45.77,104.95,2244148.0,55.93,159.54,6850.0,14173.0,2891.0,0.658,308822.0,6.3
2021-11-22,AL,5155007.0,7818860.0,2745330.0,45.8,105.14,2245543.0,55.99,159.46,8978.0,14043.0,2864.0,0.659,313536.0,6.39
2021-11-23,AL,5170333.0,7827970.0,2749881.0,45.85,105.45,2247882.0,56.08,159.65,15326.0,15493.0,3160.0,0.66,322129.0,6.57
2021-11-24,AL,5191035.0,7847520.0,2755913.0,45.98,105.87,2254666.0,56.21,160.05,20702.0,16222.0,3308.0,0.661,330439.0,6.74
2021-11-30,AL,5242493.0,7834540.0,2772024.0,46.18,106.92,2264466.0,56.54,159.78,13472.0,10309.0,2103.0,0.669,356577.0,7.27
2021-12-01,AL,5259251.0,7870000.0,2776759.0,46.23,107.26,2266861.0,56.63,160.51,16758.0,9745.0,1987.0,0.668,366464.0,7.47
2021-12-02,AL,5269173.0,7880350.0,2780216.0,46.27,107.46,2268570.0,56.7,160.72,9922.0,10077.0,2055.0,0.669,371348.0,7.57
2021-12-03,AL,5301858.0,7902810.0,2788826.0,46.36,108.13,2273361.0,56.88,161.18,32685.0,13661.0,2786.0,0.671,390983.0,7.97
2021-12-04,AL,5311207.0,7895690.0,2791469.0,46.39,108.32,2274438.0,56.93,161.03,9349.0,13911.0,2837.0,0.673,396768.0,8.09
2021-12-05,AL,5335387.0,7868950.0,2797899.0,46.47,108.81,2278670.0,57.06,160.49,24180.0,16280.0,3320.0,0.678,410642.0,8.38
2021-12-06,AL,5348564.0,7866010.0,2801384.0,46.54,109.08,2281756.0,57.13,160.43,13177.0,17078.0,3483.0,0.68,417371.0,8.51
2021-12-07,AL,5358521.0,7894870.0,2804132.0,46.58,109.29,2283759.0,57.19,161.02,9957.0,16575.0,3380.0,0.679,422668.0,8.62
2021-12-08,AL,5372947.0,7929510.0,2807664.0,46.64,109.58,2286632.0,57.26,161.72,14426.0,16242.0,3313.0,0.678,430884.0,8.79
2021-12-09,AL,5379834.0,7935800.0,2809478.0,46.67,109.72,2288180.0,57.3,161.85,6887.0,15809.0,3224.0,0.678,434525.0,8.86
2021-12-10,AL,5404729.0,7950160.0,2815260.0,46.77,110.23,2293071.0,57.42,162.14,24895.0,14696.0,2997.0,0.68,448997.0,9.16
2021-12-11,AL,5421984.0,7997400.0,2819200.0,46.84,110.58,2296493.0,57.5,163.11,17255.0,15825.0,3227.0,0.678,459161.0,9.36
2021-12-12,AL,5427694.0,7999700.0,2820475.0,46.86,110.7,2297625.0,57.52,163.15,5710.0,13187.0,2689.0,0.678,462537.0,9.43
2021-12-13,AL,5436711.0,7999700.0,2822664.0,46.91,110.88,2299840.0,57.57,163.15,9017.0,12592.0,2568.0,0.68,467193.0,9.53
2021-12-14,AL,5449205.0,8020150.0,2825574.0,46.96,111.14,2302467.0,57.63,163.57,12494.0,12955.0,2642.0,0.679,474243.0,9.67
2021-12-15,AL,5460176.0,8050350.0,2828316.0,47.01,111.36,2304915.0,57.68,164.19,10971.0,12461.0,2541.0,0.678,480227.0,9.79
2021-12-16,AL,5465558.0,8069670.0,2829865.0,47.04,111.47,2306267.0,57.71,164.58,5382.0,12246.0,2498.0,0.677,482834.0,9.85
2021-12-17,AL,5484057.0,8120290.0,2834061.0,47.11,111.85,2309833.0,57.8,165.61,18499.0,11333.0,2311.0,0.675,493907.0,10.07
2021-12-18,AL,5498460.0,8039060.0,2837454.0,47.16,112.14,2312217.0,57.87,163.96,14403.0,10925.0,2228.0,0.684,502762.0,10.25
2021-12-19,AL,5503643.0,8008500.0,2838792.0,47.18,112.25,2313129.0,57.9,163.33,5183.0,10850.0,2213.0,0.687,505747.0,10.31
2021-12-20,AL,5510359.0,7977980.0,2840554.0,47.2,112.38,2314410.0,57.93,162.71,6716.0,10521.0,2146.0,0.691,509455.0,10.39
2021-12-21,AL,5518826.0,7985890.0,2842738.0,47.24,112.56,2316077.0,57.98,162.87,8467.0,9946.0,2028.0,0.691,514090.0,10.48
2021-12-22,AL,5531312.0,8016810.0,2845635.0,47.28,112.81,2318310.0,58.04,163.5,12486.0,10162.0,2073.0,0.69,521603.0,10.64
2021-12-23,AL,5549319.0,8046130.0,2849954.0,47.34,113.18,2321403.0,58.12,164.1,18007.0,11966.0,2440.0,0.69,532322.0,10.86
2021-12-28,AL,5604954.0,7994010.0,2863485.0,47.55,114.31,2331596.0,58.4,163.04,12941.0,12304.0,2509.0,0.701,564539.0,11.51
2021-12-29,AL,5608235.0,8039790.0,2864442.0,47.57,114.38,2332287.0,58.42,163.97,3281.0,10989.0,2241.0,0.698,566205.0,11.55
2021-12-30,AL,5624234.0,8051430.0,2868764.0,47.63,114.71,2335344.0,58.51,164.21,15999.0,10702.0,2183.0,0.699,574981.0,11.73
2022-01-05,AL,5681793.0,8071240.0,2886070.0,47.85,115.88,2346404.0,58.86,164.61,3494.0,10508.0,2143.0,0.704,604626.0,12.33
2022-01-06,AL,5695747.0,8391130.0,2890246.0,47.91,116.16,2349085.0,58.95,171.14,13954.0,10216.0,2084.0,0.679,611874.0,12.48
2022-01-07,AL,5710373.0,8391130.0,2894430.0,47.96,116.46,2351731.0,59.03,171.14,14626.0,10761.0,2195.0,0.681,619829.0,12.64
