countyFIPS,State_x,2020_total,2021_total,2022_total,FIPS_code,Area_name,State_y,Civilian_labor_force_2020,Employed_2020,Unemployed_2020,Unemployment_rate_2020,Median_Household_Income_2020,Med_HH_Income_Percent_of_State_Total_2020
1001,AL,5631,41774,77529,1001,"Autauga County, AL",AL,"26,405","24,985","1,420",5.4,"67,565",125.2
1003,AL,12412,136311,248523,1003,"Baldwin County, AL",AL,"98,910","92,751","6,159",6.2,"71,135",131.8
1005,AL,2035,22329,35680,1005,"Barbour County, AL",AL,"8,680","8,004",676,7.8,"38,866",72.0
1007,AL,2678,25407,37879,1007,"Bibb County, AL",AL,"8,712","8,073",639,7.3,"50,907",94.3
1009,AL,3855,52445,88259,1009,"Blount County, AL",AL,"25,116","23,973","1,143",4.6,"55,203",102.3
1011,AL,3151,14616,19215,1011,"Bullock County, AL",AL,"4,877","4,582",295,6.0,"33,124",61.4
1013,AL,8094,27775,45785,1013,"Butler County, AL",AL,"9,236","8,345",891,9.6,"42,268",78.3
1015,AL,10863,129784,228198,1015,"Calhoun County, AL",AL,"47,022","43,367","3,655",7.8,"50,259",93.1
1017,AL,9810,44146,59183,1017,"Chambers County, AL",AL,"16,093","14,884","1,209",7.5,"39,318",72.9
1019,AL,2805,17404,30516,1019,"Cherokee County, AL",AL,"11,672","11,073",599,5.1,"50,388",93.4
1021,AL,4767,44460,74773,1021,"Chilton County, AL",AL,"19,936","18,839","1,097",5.5,"52,693",97.7
1023,AL,2902,9245,13274,1023,"Choctaw County, AL",AL,"4,699","4,351",348,7.4,"41,649",77.2
1025,AL,2957,23331,36827,1025,"Clarke County, AL",AL,"7,899","7,116",783,9.9,"44,178",81.9
1027,AL,2330,21439,30197,1027,"Clay County, AL",AL,"6,140","5,865",275,4.5,"44,763",83.0
1029,AL,1351,16363,25046,1029,"Cleburne County, AL",AL,"5,852","5,556",296,5.1,"50,134",92.9
1031,AL,2013,48917,84511,1031,"Coffee County, AL",AL,"22,008","20,938","1,070",4.9,"54,203",100.5
1033,AL,5394,54405,93939,1033,"Colbert County, AL",AL,"23,895","22,152","1,743",7.3,"54,185",100.4
1035,AL,2244,13155,25607,1035,"Conecuh County, AL",AL,"4,582","4,214",368,8.0,"34,664",64.2
1037,AL,650,11106,21225,1037,"Coosa County, AL",AL,"4,428","4,156",272,6.1,"46,509",86.2
1039,AL,5098,48815,85726,1039,"Covington County, AL",AL,"15,342","14,500",842,5.5,"43,544",80.7
1041,AL,4335,22174,36209,1041,"Crenshaw County, AL",AL,"6,371","5,971",400,6.3,"45,927",85.1
1043,AL,4729,78747,133459,1043,"Cullman County, AL",AL,"38,862","36,992","1,870",4.8,"51,844",96.1
1045,AL,7352,48234,84288,1045,"Dale County, AL",AL,"20,928","19,793","1,135",5.4,"48,493",89.9
1047,AL,5043,58744,89024,1047,"Dallas County, AL",AL,"14,836","13,091","1,745",11.8,"37,679",69.8
1049,AL,4858,73075,119360,1049,"DeKalb County, AL",AL,"31,289","29,721","1,568",5.0,"47,156",87.4
1051,AL,9721,80343,125744,1051,"Elmore County, AL",AL,"37,662","35,657","2,005",5.3,"62,524",115.9
1053,AL,4613,33241,61972,1053,"Escambia County, AL",AL,"14,604","13,611",993,6.8,"41,212",76.4
1055,AL,9509,138274,234438,1055,"Etowah County, AL",AL,"41,417","37,912","3,505",8.5,"47,872",88.7
1057,AL,1848,23273,34710,1057,"Fayette County, AL",AL,"6,664","6,294",370,5.6,"45,937",85.1
1059,AL,5467,31183,50433,1059,"Franklin County, AL",AL,"14,567","13,844",723,5.0,"40,448",75.0
1061,AL,1107,32602,59320,1061,"Geneva County, AL",AL,"11,029","10,520",509,4.6,"39,882",73.9
1063,AL,2978,13271,18220,1063,"Greene County, AL",AL,"3,094","2,728",366,11.8,"33,609",62.3
1065,AL,5732,27629,38369,1065,"Hale County, AL",AL,"6,165","5,529",636,10.3,"41,836",77.5
1067,AL,1089,17257,27544,1067,"Henry County, AL",AL,"6,909","6,535",374,5.4,"51,126",94.8
1069,AL,5304,111889,183532,1069,"Houston County, AL",AL,"47,221","44,396","2,825",6.0,"54,391",100.8
1071,AL,2819,46078,87243,1071,"Jackson County, AL",AL,"23,091","21,727","1,364",5.9,"46,606",86.4
1073,AL,73181,578175,858801,1073,"Jefferson County, AL",AL,"320,394","298,447","21,947",6.9,"57,802",107.1
1075,AL,835,13990,23906,1075,"Lamar County, AL",AL,"5,788","5,474",314,5.4,"40,204",74.5
1077,AL,6595,88507,142593,1077,"Lauderdale County, AL",AL,"42,649","40,026","2,623",6.2,"52,293",96.9
1079,AL,3693,36269,58909,1079,"Lawrence County, AL",AL,"14,528","13,736",792,5.5,"48,924",90.7
1081,AL,13005,68382,122436,1081,"Lee County, AL",AL,"76,533","72,090","4,443",5.8,"58,963",109.3
1083,AL,4791,58915,105726,1083,"Limestone County, AL",AL,"45,890","43,726","2,164",4.7,"70,850",131.3
1085,AL,5729,19895,27983,1085,"Lowndes County, AL",AL,"3,723","3,182",541,14.5,"37,499",69.5
1087,AL,3606,19004,30542,1087,"Macon County, AL",AL,"8,186","7,327",859,10.5,"37,736",69.9
1089,AL,15937,195140,350733,1089,"Madison County, AL",AL,"189,632","179,871","9,761",5.1,"67,810",125.7
1091,AL,4034,24754,39322,1091,"Marengo County, AL",AL,"7,864","7,319",545,6.9,"43,198",80.1
1093,AL,6040,38335,54900,1093,"Marion County, AL",AL,"13,291","12,545",746,5.6,"44,333",82.2
1095,AL,8794,86799,141527,1095,"Marshall County, AL",AL,"44,783","42,700","2,083",4.7,"51,417",95.3
