countyFIPS,State,2020_total,2021_total,2022_total
1001,AL,370468,2870305,6084294
1003,AL,1126681,9744986,21679847
1005,AL,174790,983065,2217230
1007,AL,148098,1143949,2483815
1009,AL,349200,2849861,5715883
1011,AL,119660,475160,913797
1013,AL,201707,921683,1972775
1015,AL,740383,6080407,12458739
1017,AL,266573,1549666,3305489
1019,AL,120705,817738,1978947
1021,AL,291023,1841012,4150679
1023,AL,73739,249343,745897
1025,AL,222579,1417176,2701891
1027,AL,108449,663442,1571494
1029,AL,81424,650214,1357461
1031,AL,305018,2468589,5264612
1033,AL,382284,2605528,6332249
1035,AL,101881,498078,1106521
1037,AL,41546,458231,1145729
1039,AL,283259,1826748,3612176
1041,AL,100892,670096,1462728
1043,AL,494394,4198289,9546329
1045,AL,292899,2268198,5019117
1047,AL,350431,1466941,3285448
1049,AL,592230,3673439,7111753
1051,AL,562698,4262286,9074392
1053,AL,290037,1785785,3865100
1055,AL,774548,5734581,10856198
1057,AL,101734,876040,1859435
1059,AL,378096,1761910,3738456
1061,AL,135929,1163922,2461839
1063,AL,69482,374514,716338
1065,AL,142470,902139,1805179
1067,AL,109296,842453,1775901
1069,AL,619175,4681261,9939589
1071,AL,379712,2843203,5696956
1073,AL,4238448,32552973,72129974
1075,AL,82605,615398,1439816
1077,AL,450739,3990443,9293324
1079,AL,146498,1269553,2925867
1081,AL,1062421,6740017,14634279
1083,AL,501748,4261903,9711138
1085,AL,140891,542984,1015452
1087,AL,101996,658602,1539137
1089,AL,1695537,14582359,35008834
1091,AL,171369,1001445,1952063
1093,AL,193497,1368909,3109736
1095,AL,877251,5153666,10369773
1097,AL,2777947,18714757,43100198
1099,AL,118384,833615,2037332
1101,AL,1835824,9941257,21750298
1103,AL,804399,6033962,14009733
1105,AL,104077,429604,814185
1107,AL,151934,949997,1990818
1109,AL,229044,1334157,2888622
1111,AL,137191,826105,1957873
1113,AL,334426,1851186,3943204
1115,AL,511654,4306414,9874565
1117,AL,1279319,10358129,23486718
1119,AL,99240,412053,979111
1121,AL,439837,3608064,8665330
1123,AL,267649,1802028,4433117
1125,AL,1663905,10371562,21650963
1127,AL,500424,3102109,7234823
1129,AL,119159,711695,1407111
1131,AL,110606,506223,1117318
1133,AL,165087,1211683,2880523
0,AK,611,3091,0
2013,AK,1743,51608,229608
2016,AK,9725,163899,339520
2020,AK,1432768,13613972,38905447
2050,AK,108476,1628518,3902296
2060,AK,30,183847,221920
2068,AK,3449,47034,145443
