countyFIPS,State,2020_total,2021_total,2022_total
1001,AL,5631,41774,77529
1003,AL,12412,136311,248523
1005,AL,2035,22329,35680
1007,AL,2678,25407,37879
1009,AL,3855,52445,88259
1011,AL,3151,14616,19215
1013,AL,8094,27775,45785
1015,AL,10863,129784,228198
1017,AL,9810,44146,59183
1019,AL,2805,17404,30516
1021,AL,4767,44460,74773
1023,AL,2902,9245,13274
1025,AL,2957,23331,36827
1027,AL,2330,21439,30197
1029,AL,1351,16363,25046
1031,AL,2013,48917,84511
1033,AL,5394,54405,93939
1035,AL,2244,13155,25607
1037,AL,650,11106,21225
1039,AL,5098,48815,85726
1041,AL,4335,22174,36209
1043,AL,4729,78747,133459
1045,AL,7352,48234,84288
1047,AL,5043,58744,89024
1049,AL,4858,73075,119360
1051,AL,9721,80343,125744
1053,AL,4613,33241,61972
1055,AL,9509,138274,234438
1057,AL,1848,23273,34710
1059,AL,5467,31183,50433
1061,AL,1107,32602,59320
1063,AL,2978,13271,18220
1065,AL,5732,27629,38369
1067,AL,1089,17257,27544
1069,AL,5304,111889,183532
1071,AL,2819,46078,87243
1073,AL,73181,578175,858801
1075,AL,835,13990,23906
1077,AL,6595,88507,142593
1079,AL,3693,36269,58909
1081,AL,13005,68382,122436
1083,AL,4791,58915,105726
1085,AL,5729,19895,27983
1087,AL,3606,19004,30542
1089,AL,15937,195140,350733
1091,AL,4034,24754,39322
1093,AL,6040,38335,54900
1095,AL,8794,86799,141527
1097,AL,60806,348120,603424
1099,AL,1563,16228,29128
1101,AL,37441,221097,344267
1103,AL,6270,107263,186595
1105,AL,991,10838,16825
1107,AL,3008,23325,38190
1109,AL,2172,29442,48597
1111,AL,3418,17776,27205
1113,AL,482,15862,33183
1115,AL,6709,94572,151742
1117,AL,11711,96752,164115
1119,AL,4036,12308,18584
1121,AL,6181,73210,135562
1123,AL,19282,58380,86191
1125,AL,23208,174962,285172
1127,AL,15676,106871,162580
1129,AL,2900,14870,21216
1131,AL,2678,11191,16690
1133,AL,2708,28359,47629
0,AK,9,609,0
2013,AK,0,180,126
2016,AK,0,367,879
2020,AK,9246,81874,194947
2050,AK,700,8352,15286
2060,AK,0,634,730
2068,AK,0,196,113
2070,AK,40,1272,4281
2090,AK,2282,19089,50263
2100,AK,0,73,365
2105,AK,0,0,0
2110,AK,392,1988,7837
2122,AK,899,11051,38138
2130,AK,20,1532,8486
2150,AK,107,2412,4259
2158,AK,66,1350,1460
2164,AK,0,0,0
2170,AK,1205,25923,87674
2180,AK,0,168,1891
2185,AK,96,1564,4059
2188,AK,0,1305,5779
2195,AK,215,426,730
2198,AK,64,890,1460
2220,AK,0,794,2555
2230,AK,0,0,0
2240,AK,134,2274,7076
2261,AK,121,1337,6944
2275,AK,0,0,0
2282,AK,0,160,730
2290,AK,387,1708,3770
0,AZ,85,295,0
4001,AZ,32423,157065,218814
4003,AZ,12476,109851,201816
4005,AZ,31432,121441,169765
4007,AZ,11243,85511,135114
4009,AZ,4540,33406,63342
4011,AZ,384,4408,11544
4012,AZ,2961,29489,50506
